bill_number,title,primary_subject
H.R.230,"To ensure equitable treatment of Shee Atiká, Incorporated, under the Alaska Native Claims Settlement Act by facilitating the transfer of land on Admiralty Island, Alaska, and for other purposes.",Native Americans
H.R.232,"To authorize States to select and acquire certain National Forest System lands to be managed and operated by the State for timber production and for other purposes under the laws of the State, and for other purposes.",Public Lands and Natural Resources
H.R.146,"To take certain Federal lands in Tennessee into trust for the benefit of the Eastern Band of Cherokee Indians, and for other purposes.",Native Americans
H.R.165,"To amend titles XVI, XVIII, XIX, and XXI of the Social Security Act to remove limitations on Medicaid, Medicare, SSI, and CHIP benefits for persons in custody pending disposition of charges.",Health
H.R.76,"To amend title 5, United States Code, to clarify the nature of judicial review of agency interpretations of statutory and regulatory provisions.",Government Operations and Politics
H.R.77,"To require each agency, in providing notice of a rule making, to include a link to a 100 word plain language summary of the proposed rule.",Government Operations and Politics
H.R.86,"To make 2 percent across-the-board rescissions in non-defense, non-homeland-security, and non-veterans-affairs discretionary spending for each of the fiscal years 2017 and 2018.",Economics and Public Finance
H.R.151,"To require any State which, after enacting a Congressional redistricting plan after a decennial census and apportionment of Representatives, enacts a subsequent Congressional redistricting plan prior to the next decennial census and apportionment of Representatives, to obtain a declaratory judgment or preclearance in the manner provided under section 5 of the Voting Rights Act of 1965 in order for the subsequent plan to take effect.","Civil Rights and Liberties, Minority Issues"
H.R.27,"To amend title 38, United States Code, to require the Secretary of Veterans Affairs to retain a copy of any reprimand or admonishment received by an employee of the Department in the permanent record of the employee.",Armed Forces and National Security
H.R.204,"To amend the market name of genetically altered salmon in the United States, and for other purposes.",Health
H.R.193,To end membership of the United States in the United Nations.,International Affairs
H.R.169,"To amend the Outer Continental Shelf Lands Act to permanently prohibit the conduct of offshore drilling on the outer Continental Shelf off the coast of California, Oregon, and Washington.",Energy
H.R.74,"To amend title 5, United States Code, to postpone the effective date of high-impact rules pending judicial review.",Government Operations and Politics
H.R.163,To repeal the provisions of the Protection of Lawful Commerce in Arms Act prohibiting the bringing of qualified civil liability actions in Federal or State court.,Law
H.R.171,To redesignate the Department of the Navy as the Department of the Navy and Marine Corps.,Armed Forces and National Security
H.R.78,To improve the consideration by the Securities and Exchange Commission of the costs and benefits of its regulations and orders.,Finance and Financial Sector
H.R.166,"To amend title XVIII of the Social Security Act to stabilize and modernize the provision of partial hospitalization services under the Medicare Program, and for other purposes.",Health
H.R.161,"To amend the Public Health Service Act to establish a grant program to provide supportive services in permanent supportive housing for chronically homeless individuals and families, and for other purposes.",Health
H.R.79,To clarify the definition of general solicitation under Federal securities law.,Finance and Financial Sector
H.R.181,"To amend title XIX of the Social Security Act to count portions of income from annuities of a community spouse as income available to institutionalized spouses for purposes of eligibility for medical assistance, and for other purposes.",Health
H.R.172,To restore the Free Speech and First Amendment rights of churches and exempt organizations by repealing the 1954 Johnson Amendment.,"Civil Rights and Liberties, Minority Issues"
